path	size	legacy_candidate	sys_path_hack	duplicate_basename
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/spam/spam_llm_filter.py	2181	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/utils/config.py	516	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/utils/db_tools.py	2319	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/utils/env.py	358	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/utils/errors.py	311	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/utils/font_check.py	626	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/utils/fonts.py	521	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/utils/imap_folder_detector.py	2435	yes	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/utils/imap_login.py	670	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/utils/jsonlog.py	2691	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/utils/log_writer.py	254	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/utils/logging_setup.py	1326	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/utils/pdf_generator.py	2702	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/utils/pdf_safe.py	4863	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/utils/priority_evaluator.py	2486	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/utils/rag_reply.py	2384	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/utils/templater.py	1128	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/utils/tracing.py	460	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/smart_mail_agent/utils/validators.py	1369	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/spam/feature_extractor.py	280	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/spam/ml_spam_classifier.py	282	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/spam/rule_filter.py	268	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/spam/rules.py	256	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/support_ticket.py	5699	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/train_classifier.py	1823	no	no	yes
audit_bundle_20250816-130133/src_lowcov/src_lowcov/src/utils/jsonlog.py	106	no	no	yes
configs/default.yml	400	no	no	no
configs/samples/policy.yaml	668	no	no	no
configs/samples/spam_rules.yaml	688	no	no	no
LOW_COVERAGE_FILES.txt	1731	no	no	yes
Makefile	1438	no	no	yes
pyproject.toml	445	no	no	yes
pytest.ini	76	no	no	yes
README.md	1791	no	no	yes
repo-inventory-20250816-084630.txt	22752	no	no	no
reports/audit-last-collect.txt	41	no	no	no
reports/audit-last-coverage.txt	61	no	no	no
reports/audit-last.txt	32	no	no	no
reports/audit-summary.md	454	no	no	no
reports/tests-collect-20250816-125637.txt	8674	no	no	yes
reports/tree-20250816-124354.txt	13911	no	no	no
reports/tree-20250816-124547.txt	13944	no	no	no
reports/tree-20250816-125335.txt	11945	no	no	no
reports/tree-20250816-125637.txt	11938	no	no	yes
scripts/online_check.py	1170	no	no	no
scripts/run_pipeline.sh	180	no	no	no
scripts/setup_env.sh	226	no	no	no
src/__init__.py	46	no	no	yes
src/action_handler.py	123	no	no	yes
src/classifier.py	3058	no	no	yes
src/email_processor.py	1196	no	no	yes
src/inference_classifier.py	1075	no	no	yes
src/init_db.py	118	no	no	yes
src/log_writer.py	125	no	no	yes
src/modules/__init__.py	55	no	no	yes
src/modules/apply_diff.py	120	no	no	yes
src/modules/leads_logger.py	122	no	no	yes
src/modules/quotation.py	2760	no	no	yes
src/modules/quote_logger.py	122	no	no	yes
src/modules/sales_notifier.py	124	no	no	yes
src/patches/handle_router_patch.py	1010	no	no	yes
src/patches/handle_safe_patch.py	315	no	no	yes
src/policy_engine.py	119	no	no	yes
src/requirements.txt	15	no	no	yes
src/run_action_handler.py	7617	no	no	yes
src/send_with_attachment.py	1225	no	no	yes
src/sma_types.py	115	no	no	yes
src/smart_mail_agent/__init__.py	136	no	no	yes
src/smart_mail_agent/__main__.py	434	no	no	yes
src/smart_mail_agent/__version__.py	123	no	no	no
src/smart_mail_agent/actions/__init__.py	0	no	no	yes
src/smart_mail_agent/actions/complaint.py	2183	no	no	yes
src/smart_mail_agent/actions/sales_inquiry.py	6383	no	no	yes
src/smart_mail_agent/cli/sma.py	279	no	no	yes
src/smart_mail_agent/cli/sma_run.py	289	no	no	no
src/smart_mail_agent/cli/sma_spamcheck.py	9490	no	yes	no
src/smart_mail_agent/cli_spamcheck.py	1957	no	no	yes
src/smart_mail_agent/core/classifier.py	6427	no	no	yes
src/smart_mail_agent/core/policy_engine.py	64	no	no	yes
src/smart_mail_agent/core/sma_types.py	60	no	no	yes
src/smart_mail_agent/core/utils/__init__.py	0	no	no	yes
src/smart_mail_agent/core/utils/jsonlog.py	106	no	no	yes
src/smart_mail_agent/core/utils/logger.py	63	no	no	yes
src/smart_mail_agent/core/utils/mailer.py	63	no	no	yes
src/smart_mail_agent/features/__init__.py	0	no	no	yes
src/smart_mail_agent/features/apply_diff.py	3355	no	no	yes
src/smart_mail_agent/features/leads_logger.py	2531	no	no	yes
src/smart_mail_agent/features/modules_legacy/__init__.py	55	yes	no	yes
src/smart_mail_agent/features/quote_logger.py	3388	no	no	yes
src/smart_mail_agent/features/sales/quotation.py	2646	no	no	yes
src/smart_mail_agent/features/sales_notifier.py	568	no	no	yes
src/smart_mail_agent/features/spam/__init__.py	253	no	no	yes
src/smart_mail_agent/features/spam/feature_extractor.py	280	no	no	yes
src/smart_mail_agent/features/spam/inference_classifier.py	5649	no	no	yes
src/smart_mail_agent/features/spam/ml_spam_classifier.py	282	no	no	yes
src/smart_mail_agent/features/spam/pipeline.py	262	no	no	yes
src/smart_mail_agent/features/spam/rule_filter.py	268	no	no	yes
src/smart_mail_agent/features/spam/rules.py	256	no	no	yes
src/smart_mail_agent/features/spam/spam_filter_orchestrator.py	294	no	no	yes
src/smart_mail_agent/features/support/support_ticket.py	5781	no	no	yes
src/smart_mail_agent/ingestion/email_processor.py	4470	no	no	yes
src/smart_mail_agent/ingestion/init_db.py	4564	no	no	yes
src/smart_mail_agent/ingestion/integrations/send_with_attachment.py	4251	no	no	yes
src/smart_mail_agent/observability/log_writer.py	3851	no	no	yes
src/smart_mail_agent/observability/sitecustomize.py	405	no	yes	no
src/smart_mail_agent/observability/stats_collector.py	2780	no	no	yes
src/smart_mail_agent/observability/tracing.py	332	no	no	yes
src/smart_mail_agent/patches/__init__.py	0	no	no	yes
src/smart_mail_agent/patches/handle_router_patch.py	965	no	no	yes
src/smart_mail_agent/patches/handle_safe_patch.py	1513	no	yes	yes
src/smart_mail_agent/policy_engine.py	2657	no	no	yes
src/smart_mail_agent/routing/__init__.py	131	no	no	yes
src/smart_mail_agent/routing/action_handler.py	10119	no	no	yes
src/smart_mail_agent/routing/run_action_handler.py	6664	no	no	yes
src/smart_mail_agent/sma_types.py	2882	no	no	yes
src/smart_mail_agent/spam/__init__.py	0	no	no	yes
src/smart_mail_agent/spam/feature_extractor.py	1218	no	no	yes
src/smart_mail_agent/spam/ml_spam_classifier.py	2528	no	no	yes
src/smart_mail_agent/spam/orchestrator_offline.py	12538	no	no	no
src/smart_mail_agent/spam/pipeline.py	2109	no	no	yes
src/smart_mail_agent/spam/rule_filter.py	2643	no	no	yes
src/smart_mail_agent/spam/rules.py	10183	no	no	yes
src/smart_mail_agent/spam/spam_filter_orchestrator.py	3696	no	no	yes
src/smart_mail_agent/spam/spam_llm_filter.py	2181	no	no	yes
src/smart_mail_agent/trainers/train_bert_spam_classifier.py	2636	no	no	no
src/smart_mail_agent/trainers/train_classifier.py	1830	no	no	yes
src/smart_mail_agent/utils/__init__.py	153	no	no	yes
src/smart_mail_agent/utils/config.py	516	no	no	yes
src/smart_mail_agent/utils/db_tools.py	2353	no	no	yes
src/smart_mail_agent/utils/env.py	358	no	no	yes
src/smart_mail_agent/utils/errors.py	311	no	no	yes
src/smart_mail_agent/utils/font_check.py	626	no	no	yes
src/smart_mail_agent/utils/fonts.py	521	no	no	yes
src/smart_mail_agent/utils/imap_folder_detector.py	2433	yes	no	yes
src/smart_mail_agent/utils/imap_login.py	670	no	no	yes
src/smart_mail_agent/utils/jsonlog.py	2737	no	no	yes
src/smart_mail_agent/utils/log_writer.py	254	no	no	yes
src/smart_mail_agent/utils/logger.py	589	no	no	yes
src/smart_mail_agent/utils/logging_setup.py	1326	no	no	yes
src/smart_mail_agent/utils/mailer.py	2367	no	no	yes
src/smart_mail_agent/utils/pdf_generator.py	2724	no	no	yes
src/smart_mail_agent/utils/pdf_safe.py	2446	no	no	yes
src/smart_mail_agent/utils/priority_evaluator.py	2486	no	no	yes
src/smart_mail_agent/utils/rag_reply.py	2709	no	no	yes
src/smart_mail_agent/utils/templater.py	1128	no	no	yes
src/smart_mail_agent/utils/tracing.py	460	no	no	yes
src/smart_mail_agent/utils/validators.py	1369	no	no	yes
src/spam/__init__.py	60	no	no	yes
src/spam/feature_extractor.py	132	no	no	yes
src/spam/ml_spam_classifier.py	133	no	no	yes
src/spam/pipeline.py	133	no	no	yes
src/spam/rule_filter.py	126	no	no	yes
src/spam/rules.py	120	no	no	yes
src/spam/spam_filter_orchestrator.py	139	no	no	yes
src/stats_collector.py	1776	no	no	yes
src/support_ticket.py	5178	no	no	yes
src/torch/__init__.py	708	no	no	yes
src/torch/distributed/__init__.py	50	no	no	yes
src/torch/distributed/tensor/__init__.py	57	no	no	yes
src/transformers/__init__.py	1324	no	no	yes
src/utils/__init__.py	0	no	no	yes
src/utils/jsonlog.py	119	no	no	yes
src/utils/log_writer.py	733	no	no	yes
src/utils/logger.py	118	no	no	yes
src/utils/mailer.py	118	no	no	yes
src/utils/pdf_safe.py	1027	no	no	yes
src_lowcov/src/actions/__init__.py	131	no	no	yes
src_lowcov/src/email_processor.py	4388	no	no	yes
src_lowcov/src/inference_classifier.py	5649	no	no	yes
src_lowcov/src/log_writer.py	3851	no	no	yes
src_lowcov/src/modules/leads_logger.py	2525	no	no	yes
src_lowcov/src/patches/handle_router_patch.py	965	no	no	yes
src_lowcov/src/patches/handle_safe_patch.py	1513	no	yes	yes
src_lowcov/src/run_action_handler.py	6368	no	no	yes
src_lowcov/src/send_with_attachment.py	4189	no	no	yes
src_lowcov/src/smart_mail_agent/__main__.py	434	no	no	yes
src_lowcov/src/smart_mail_agent/actions/complaint.py	2183	no	no	yes
src_lowcov/src/smart_mail_agent/actions/sales_inquiry.py	6377	no	no	yes
src_lowcov/src/smart_mail_agent/cli_spamcheck.py	1923	no	no	yes
src_lowcov/src/smart_mail_agent/spam/feature_extractor.py	1218	no	no	yes
src_lowcov/src/smart_mail_agent/spam/ml_spam_classifier.py	2529	no	no	yes
src_lowcov/src/smart_mail_agent/spam/pipeline.py	503	no	no	yes
src_lowcov/src/smart_mail_agent/spam/rule_filter.py	2643	no	no	yes
src_lowcov/src/smart_mail_agent/spam/rules.py	4321	no	no	yes
src_lowcov/src/smart_mail_agent/spam/spam_llm_filter.py	2181	no	no	yes
src_lowcov/src/smart_mail_agent/utils/config.py	516	no	no	yes
src_lowcov/src/smart_mail_agent/utils/db_tools.py	2319	no	no	yes
src_lowcov/src/smart_mail_agent/utils/env.py	358	no	no	yes
src_lowcov/src/smart_mail_agent/utils/errors.py	311	no	no	yes
src_lowcov/src/smart_mail_agent/utils/font_check.py	626	no	no	yes
src_lowcov/src/smart_mail_agent/utils/fonts.py	521	no	no	yes
src_lowcov/src/smart_mail_agent/utils/imap_folder_detector.py	2435	yes	no	yes
src_lowcov/src/smart_mail_agent/utils/imap_login.py	670	no	no	yes
src_lowcov/src/smart_mail_agent/utils/jsonlog.py	2691	no	no	yes
src_lowcov/src/smart_mail_agent/utils/log_writer.py	254	no	no	yes
src_lowcov/src/smart_mail_agent/utils/logging_setup.py	1326	no	no	yes
src_lowcov/src/smart_mail_agent/utils/pdf_generator.py	2702	no	no	yes
src_lowcov/src/smart_mail_agent/utils/pdf_safe.py	4863	no	no	yes
src_lowcov/src/smart_mail_agent/utils/priority_evaluator.py	2486	no	no	yes
src_lowcov/src/smart_mail_agent/utils/rag_reply.py	2384	no	no	yes
src_lowcov/src/smart_mail_agent/utils/templater.py	1128	no	no	yes
src_lowcov/src/smart_mail_agent/utils/tracing.py	460	no	no	yes
src_lowcov/src/smart_mail_agent/utils/validators.py	1369	no	no	yes
src_lowcov/src/spam/feature_extractor.py	280	no	no	yes
src_lowcov/src/spam/ml_spam_classifier.py	282	no	no	yes
src_lowcov/src/spam/rule_filter.py	268	no	no	yes
src_lowcov/src/spam/rules.py	256	no	no	yes
src_lowcov/src/support_ticket.py	5699	no	no	yes
src_lowcov/src/train_classifier.py	1823	no	no	yes
src_lowcov/src/utils/jsonlog.py	106	no	no	yes
tests/conftest.py	2319	no	no	yes
tests/contracts/conftest.py	682	no	no	yes
tests/contracts/test_action_result_contracts.py	1528	no	no	no
tests/e2e/conftest.py	330	no	no	yes
tests/e2e/test_actions_matrix_ext.py	1794	no	no	no
tests/e2e/test_cli_flags.py	1832	no	no	no
tests/e2e/test_cli_scripts.py	846	no	no	no
tests/e2e/test_complaint_policy.py	1343	no	no	no
tests/e2e/test_label_routing_offline.py	1888	no	no	no
tests/e2e/test_new_intents.py	1936	no	no	no
tests/e2e/test_offline_suite.py	2915	no	yes	no
tests/e2e/test_policy_expansion.py	1480	no	no	no
tests/e2e/test_runner.py	764	no	no	no
tests/e2e/test_sales_and_complaint.py	1673	no	no	no
tests/e2e/test_sales_inquiry_needs_summary.py	1337	no	no	no
tests/e2e/test_send_quote_degrade.py	926	no	no	no
tests/e2e/test_spam_pipeline.py	1046	no	no	no
tests/integration/test_email_end_to_end_offline.py	2737	no	no	no
tests/integration/test_online_send_paths.py	1611	no	no	no
tests/internal_smoke/test_import_all_internal.py	753	no	no	no
tests/policy/test_attachment_risks_extra.py	1660	no	no	no
tests/policy/test_attachment_risks_matrix.py	1578	no	no	no
tests/portfolio/test_email_processor_utils.py	492	no	no	no
tests/portfolio/test_inference_classifier_fallback.py	509	no	no	no
tests/portfolio/test_log_writer.py	440	no	no	no
tests/portfolio/test_patches_router.py	1094	no	no	no
tests/portfolio/test_pdf_safe.py	530	no	no	no
